rollout/ep_rew_mean,train/clip_range,time/fps,time/time_elapsed,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,time/total_timesteps,time/iterations,train/entropy_loss,train/approx_kl,train/n_updates,train/explained_variance,train/loss,train/value_loss,rollout/ep_len_mean
-10.0,0.2,894,18,0.0003,-0.009681144282512832,0.0642578125,16384,4,-1.3699259899556637,0.0073353625,30,0.9639220833778381,-0.012850321829319,0.029354462675109973,859.7777777777778
-9.513513513513514,0.2,810,40,0.0003,-0.020230289579194503,0.1186767578125,32768,8,-1.3201786119490861,0.011365889,70,0.9789209179580212,-0.02479436993598938,0.025011851268209283,857.8378378378378
-9.678571428571429,0.2,787,62,0.0003,-0.016539674179875875,0.12705078125,49152,12,-1.2587550111114978,0.012546077,110,0.9782690387219191,-0.035733744502067566,0.014672479325236054,856.7142857142857
-9.644736842105264,0.2,776,84,0.0003,-0.013917904352638288,0.1357421875,65536,16,-1.2124279195442795,0.012651864,150,0.9368138909339905,-0.040542397648096085,0.07397943492687772,854.8947368421053
-9.712765957446809,0.2,767,106,0.0003,-0.015971382871066454,0.1469482421875,81920,20,-1.121667262353003,0.015630199,190,0.9817801583558321,-0.01239893026649952,0.00798763414404675,857.9574468085107
-9.73,0.2,764,128,0.0003,-0.016032466006436152,0.1357666015625,98304,24,-1.0714433844201268,0.01311532,230,0.9815876744687557,-0.024604802951216698,0.008880162249442946,861.36
-9.91,0.2,762,150,0.0003,-0.014952224433363881,0.1402587890625,114688,28,-1.002608799189329,0.015025715,270,0.9666341282427311,-0.025471074506640434,0.010815275379172817,868.08
-9.91,0.2,759,172,0.0003,-0.015217060308350483,0.1460693359375,131072,32,-0.9319716812111437,0.013930688,310,0.994330121204257,-0.0287166740745306,0.0034892582848442544,869.84
-9.91,0.2,758,194,0.0003,-0.007964869577699573,0.133935546875,147456,36,-0.9561639332212508,0.013534637,350,0.8769776746630669,-0.030688956379890442,0.04630986311758534,886.36
-9.91,0.2,757,216,0.0003,-0.018476407925481907,0.162841796875,163840,40,-0.9286781613714993,0.016413555,390,0.9741927161812782,-0.022442614659667015,0.011007334374153289,882.44
-9.91,0.2,756,238,0.0003,-0.013648677738456173,0.1499755859375,180224,44,-0.9394596231169998,0.014955541,430,0.9832289181649685,-0.006399459205567837,0.005516731827447075,901.6
-9.82,0.2,755,260,0.0003,-0.015968695963965728,0.15185546875,196608,48,-0.9254193041473627,0.018719407,470,0.9622463062405586,-0.010186413303017616,0.005716967953776475,905.96
-9.82,0.2,755,282,0.0003,-0.014060131066435133,0.1735595703125,212992,52,-0.9365819572471082,0.02022372,510,0.9775682426989079,-0.019341737031936646,0.009769993124245957,905.44
-9.73,0.2,751,305,0.0003,-0.01297730123551446,0.1488525390625,229376,56,-0.9445900224149227,0.016676333,550,0.9832874163985252,-0.03050249069929123,0.007051549113020883,898.52
-9.82,0.2,750,327,0.0003,-0.010719771666117595,0.121337890625,245760,60,-1.089895998314023,0.011023372,590,0.9440474063158035,-0.014781750738620758,0.02183088648062039,890.16
-9.82,0.2,746,351,0.0003,-0.013977039249584777,0.1450927734375,262144,64,-1.054446177277714,0.015216675,630,0.9832733981311321,-0.015555940568447113,0.005731133909284836,884.0
-9.73,0.2,741,375,0.0003,-0.015328500243049348,0.168701171875,278528,68,-0.9394242281094194,0.016074993,670,0.9726526495069265,-0.007836083881556988,0.007581925006343226,878.64
-9.82,0.2,736,400,0.0003,-0.01073391811660258,0.1519287109375,294912,72,-0.9167123944498599,0.016267736,710,0.9782208409160376,-0.045989662408828735,0.011983745848374383,875.36
-9.91,0.2,733,424,0.0003,-0.016062818883074214,0.1511962890625,311296,76,-1.0361406894400715,0.016675133,750,0.9761791750788689,0.005927822552621365,0.013006456463153881,884.32
-9.55,0.2,734,446,0.0003,-0.017393965473456775,0.15791015625,327680,80,-0.9263735100626945,0.0151583515,790,0.9806501306593418,-0.044799819588661194,0.012003359420668857,890.56
-9.37,0.2,735,468,0.0003,-0.01155171299324138,0.142724609375,344064,84,-0.9631445604376495,0.015034578,830,0.9597053043544292,-0.020855020731687546,0.01823785054784821,909.0
-9.19,0.2,735,489,0.0003,-0.01241210509906523,0.1593994140625,360448,88,-0.8565893067978323,0.017978737,870,0.9333446025848389,-0.0145918820053339,0.04428748803402414,901.24
-9.1,0.2,736,511,0.0003,-0.01709347055366379,0.13359375,376832,92,-1.021276459749788,0.012932891,910,0.9500805549323559,-0.04131747782230377,0.041163852145837156,896.6
-9.01,0.2,737,533,0.0003,-0.016492008857312612,0.172314453125,393216,96,-0.9262592605315149,0.015550658,950,0.9373865127563477,-0.0058478256687521935,0.049750427851176934,888.2
-9.28,0.2,737,555,0.0003,-0.01816125912446296,0.1411865234375,409600,100,-0.7574272640049458,0.017983835,990,0.9792610853910446,-0.029042787849903107,0.012295844382424547,874.08
-9.46,0.2,737,577,0.0003,-0.011620249209227041,0.1592529296875,425984,104,-0.8800052274018526,0.020359505,1030,0.9758985135704279,-0.013115497305989265,0.011551217035776062,856.84
-9.64,0.2,732,603,0.0003,-0.01716099619297893,0.1576416015625,442368,108,-0.9207510480657219,0.017609898,1070,0.976118540391326,-0.02686944045126438,0.009721043181525602,852.24
-9.82,0.2,729,628,0.0003,-0.01717201756691793,0.1344482421875,458752,112,-0.9877887309528888,0.015121741,1110,0.9729721397161484,-0.038108162581920624,0.012406102813656616,844.84
-9.91,0.2,729,650,0.0003,-0.01995652378318482,0.125537109375,475136,116,-1.0709533047862352,0.013486202,1150,0.9784867819398642,-0.00721628637984395,0.00864427146361777,844.72
-9.82,0.2,730,673,0.0003,-0.015892843220353826,0.1338623046875,491520,120,-1.1152714408002793,0.012235956,1190,0.9523473270237446,-0.023252440616488457,0.022513777647873212,848.64
-9.73,0.2,730,695,0.0003,-0.013786705725215143,0.1486572265625,507904,124,-0.9043138769455255,0.016400509,1230,0.8820178881287575,-0.0024209534749388695,0.09456426845717943,845.84
-9.73,0.2,730,717,0.0003,-0.016651013468799648,0.1431640625,524288,128,-0.8871419798582793,0.01479486,1270,0.9768713731318712,-0.03596274182200432,0.011843990542365646,844.28
-9.64,0.2,731,739,0.0003,-0.018554022703756345,0.1319091796875,540672,132,-1.0271084127947687,0.013654653,1310,0.9254441186785698,-0.006890449207276106,0.018835195222709444,844.16
-9.46,0.2,731,761,0.0003,-0.015004815399151994,0.146435546875,557056,136,-0.9766048312187194,0.020599313,1350,0.9734889008104801,-0.013742918148636818,0.01878839353303192,856.08
-9.55,0.2,731,783,0.0003,-0.01838174098811578,0.164892578125,573440,140,-0.9714230588637293,0.019267606,1390,0.9862494971603155,-0.01574992761015892,0.005734464899524028,866.44
-9.55,0.2,732,805,0.0003,-0.011914419571257894,0.14580078125,589824,144,-0.9733662557788193,0.01858062,1430,0.9710397142916918,-0.016333667561411858,0.010431642341700353,879.08
-9.73,0.2,732,827,0.0003,-0.02304663949398673,0.1623291015625,606208,148,-1.0571983378380536,0.017662108,1470,0.9556679762899876,-0.03209790587425232,0.021437786200658594,868.28
-9.82,0.2,732,849,0.0003,-0.015683004826860268,0.1621826171875,622592,152,-0.9101725121960044,0.021746201,1510,0.9682082943618298,-0.02867758646607399,0.018116259324233396,869.52
-9.91,0.2,733,871,0.0003,-0.019706468519871123,0.1656982421875,638976,156,-0.964312048535794,0.019754067,1550,0.9705098439007998,-0.03044792264699936,0.017089872234282665,879.32
-9.91,0.2,732,894,0.0003,-0.02078365042762016,0.1463623046875,655360,160,-0.9748552464880049,0.016323805,1590,0.9785823430866003,-0.011538311839103699,0.008864872909180121,868.68
-9.82,0.2,733,916,0.0003,-0.01652412773037213,0.14541015625,671744,164,-0.9512162597849965,0.015447787,1630,0.9497142098844051,-0.04435256868600845,0.10487508618898574,874.72
-9.64,0.2,733,938,0.0003,-0.014418745908915297,0.151708984375,688128,168,-0.8642337448894978,0.019980062,1670,0.9623230397701263,-0.02190125174820423,0.015075843198792427,874.6
